ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Motility
6839,,"DSM 21478, CCUG 54536, LMG 23990, JCM 16942, NCIMB 14555",1,Leuconostoc holzapfelii,GCA_012396485,0
6837,IH003,"DSM 15101, KCTC 3774, JCM 17833, CECT 7026, CIP 108081, LMG 22919, NRIC 0562",1,Leuconostoc inhae,GCA_000166735,0
6818,,"CCUG 30064, NRRL B-3468, DSM 20202, ATCC 19256, NCDO 533, JCM 6123, BCRC 12261, CCM 4545, CECT 4173, CGMCC 1.2137, CIP 102422, HAMBI 2346, KCTC 3528, LMG 8894, NBRC 107866, NCIMB 13091, NRIC 1540, VTT E-98974",1,Leuconostoc lactis,GCA_000185085,0
6814,LL76,"DSM 8581, JCM 11052, CCUG 38887, CECT 5746, CIP 103889, KCTC 3773, LMG 18543",0,Leuconostoc lactis,GCA_000179875,0
6820,LF2,"DSM 20346, ATCC 19254, CCM 2078, NCDO 543, CCUG 21965, LMG 6909, NCIMB 12008, JCM 16943, CCTM 2731, CIP 103009, IMET 10693, NBRC 107766, NCFB 543, NRRL B-3252, VKM B-1420",1,Leuconostoc mesenteroides subsp. cremoris,GCA_000160595,0
6822,,"DSM 20484, ATCC 19255, CCM 2086, NCDO 529, NRRL B-3469, JCM 9700, CCUG 21966, CCUG 30065, CECT 912, CGMCC 1.2141, CIP 102423, IMET 10694, KCTC 3530, LMG 6908, NBRC 100495, NCFB 529, NCIMB 12007, NRIC 1539, VKM B-1225, VTT E-93492, VKM 1225",1,Leuconostoc mesenteroides subsp. dextranicum,GCA_001047695,0
140557,DRC1506,"JCM 31787, KCCM 43249, BCRC 81165",1,Leuconostoc mesenteroides subsp. jonggajibkimchii,GCA_001886915,0
6825,"37 Y, 37Y","DSM 20343, ATCC 8293, CCM 1803, NCDO 523, NCIB 8023, CCUG 30066, NRRL B-3470, JCM 6124, CIP 102305, IMET 10695, LMG 8205, NCIMB 8023",1,Leuconostoc mesenteroides subsp. mesenteroides,GCA_000014445,0
6841,M2,"DSM 25624, JCM 17445, KACC 15353",1,Leuconostoc miyukkimchii,GCA_019656055,0
6840,,"DSM 21144, LMG 24510, TMW 2.694, JCM 16944, CIP 110077",1,Leuconostoc palmae,GCA_019656075,0
6833,39,"DSM 20193, ATCC 12291, CCM 2083, DSM 284, NCDO 768, NCIB 8699, CCUG 30063, JCM 9696, ATCC 49371, BCRC 11651, BCRC 16065, CECT 4027, CIP 103316, KCTC 3652, LMG 11482, NCCB 83005, NCFB 768, NCIMB 8699, NRIC 1777, VTT E-98970",1,Leuconostoc pseudomesenteroides,GCA_000185065,0
131396,R-50029,"DSM 27776, LMG 27676, MHB 277, CIP 110986",1,Leuconostoc rapi,GCA_016908715,0
6842,535,"DSM 20241, ATCC 9135, CCM 1851, CIP 110051, LMG 8159, NCDO 522, NCIMB 6992, WDCM 00108, CCUG 1521, JCM 30910, ATCC 14935, BCRC 14012, BCRC 16062, CECT 8146, IFO 3426, KACC 17730, NBRC 3426, NCDO 797, NCTC 6992, NRRL B-523",1,Leuconostoc suionicum,GCA_001891125,0
166283,C3212,"MCCC 1K03600, KCTC 72121",1,Leucothrix sargassi,GCA_004010795,0
6661,"R-19065, R-16065","CCUG 50162, DSM 19394, CCM 7240, LMG 22200, JCM 15949, BCRC 80774, CIP 108702, NBRC 107156",1,Levilactobacillus acidifarinae,GCA_001434835,0
6655,"14, Bb14, Bb 14","DSM 20054, ATCC 14869, NCDO 1749, WDCM 00099, CCUG 30670, JCM 1059, BCRC 12187, CCM 3805, CECT 4121, CIP 102806, KCTC 3498, LMG 6906, LMG 7944, NBRC 107147, NCFB 1749, NCIMB 11973, NRIC 1638, NRRL B-4527, VTT E-91458, IMET 10711",1,Levilactobacillus brevis,GCA_000469365,0
140403,2301,"DSM 100836, TUM BP 140423000-2250, CIP 111489, LMG 29073",1,Levilactobacillus cerevisiae,GCA_003946245,0
6624,LP38,"DSM 16381, CIP 108387, TMW 1.1236, CCUG 51325, JCM 16170, BCRC 80779, LMG 23074",1,Levilactobacillus hammesii,GCA_001434395,0
24128,N16,"DSM 27983, JCM 16448, KCTC 13530, DCY 50, BCRC 81078",1,Levilactobacillus koreensis,GCA_001435525,0
6667,,"DSM 19117, CCUG 52843, CIP 109498, LMG 23583, JCM 15612, BCRC 80773, NBRC 107158",1,Levilactobacillus namurensis,GCA_001434785,0
6695,1.1424,"DSM 22467, JCM 18045, LMG 25291, TMW 1.1424",1,Levilactobacillus paucivorans,GCA_001437125,0
6679,L13,"DSM 21775, NBRC 103853, TISTR 1847, CIP 109886",1,Levilactobacillus senmaizukei,GCA_001436675,0
6595,,"DSM 15429, LMG 21871, LTH 5753, JCM 15956, BCRC 80775, CIP 108581, NBRC 107155",1,Levilactobacillus spicheri,GCA_001435095,0
164731,L88,"JCM 34120, BCRC 12945, NBRC 113535",1,Levilactobacillus suantsaii,GCA_004115745,0
130365,THK-V8,"DSM 29216, JCM 18023, KACC 16236, BCRC 81079",1,Levilactobacillus yonginensis,GCA_003946265,0
6660,R-18615,"DSM 19395, CCM 7241, LMG 22198, CCUG 50163, JCM 15957, BCRC 80776, CIP 108703, NBRC 107157",1,Levilactobacillus zymae,GCA_001434115,0
504,KIBI-1,"DSM 16555, JCM 12578",1,Levilinea saccharolytica,GCA_001050255,0
14049,SST-19,"DSM 24740, JBRI 2009, JCM 14216, KCTC 12774",1,Lewinella agarilytica,GCA_900110645,1
133425,,"KCCM 42688, NBRC 103142, IMCC 3223, DSM 105096",1,Lewinella antarctica,GCA_011927835,0
133002,HDW-36,"DSM 105137, CECT 8901, KCTC 42719",1,Lewinella aquimaris,GCA_014197245,0
140717,,"KCTC 42187, CECT 8679, HME 9359",1,Lewinella lacunae,GCA_014349155,0
167343,HSMS-39,"KACC 19866, NBRC 113585",1,Lewinella litorea,GCA_004803465,0
140713,,"KACC 17619, CECT 8419, HME 9321",1,Lewinella maritima,GCA_923081025,0
131475,13-9-B8,"DSM 29526, KCTC 32663",1,Lewinella xylanilytica,GCA_002934605,0
12548,CB 35,"CCUG 55595, DSM 18206, JCM 13469, KCTC 15079",1,Prevotella stercorea,GCA_000235885,0
166128,RmlP026,"KCTC 72077, VKM B-3277",1,Lichenibacterium minus,GCA_004137685,1
166129,RmlP001,"KCTC 72076, VKM B-3263",1,Lichenibacterium ramalinae,GCA_004137085,1
164516,,"JCM 33311, KCCM 43293, PAMC 29148",1,Lichenihabitans psoromatis,GCA_004323635,0
6606,FS60-1,"CCUG 46556, CIP 106750, PCU 207, DSM 15836, HSCC 1411, JCM 10692, NRIC 0300, TISTR 1386, NBRC 102163",1,Ligilactobacillus acidipiscis,GCA_001435755,0
6605,LMK3,"DSM 15353, CCUG 42961, CIP 106393, ATCC BAA-288, JCM 11551, KCTC 13900, NBRC 102164",0,Ligilactobacillus acidipiscis,GCA_000260635,0
6416,"PPI/1535, PP1/1535","DSM 20602, ATCC 35046, NCDO 2425, CCUG 33906, JCM 5670, BCRC 14617, CECT 4060, CGMCC 1.2623, CIP 103152, IAM 13547, IFO 15882, KCTC 3501, LMG 9843, NBRC 15882, NCFB 2425, NCIMB 13278, NRRL B-14176, VTT E-991268",1,Ligilactobacillus animalis,GCA_000183825,0
6646,"ASB1, ASB-1","DSM 16634, CIP 108913, JCM 16172, NCIMB 14359",1,Ligilactobacillus apodemi,GCA_000615885,0
6417,ML2,"CCUG 32231, JCM 5667, DSM 20653, ATCC 43235, CIP 103145, LMG 23560, NCFB 2785",1,Ligilactobacillus araffinosus,GCA_001435375,0
6677,142-2,"DSM 22408, CCUG 53626, CECT 7185, JCM 15609, CIP 109847, KCTC 5852",1,Ligilactobacillus ceti,GCA_000423245,0
6604,,"DSM 15833, ATCC BAA-261, CCUG 47129, CIP 107382, JCM 10991, KCTC 13921, YIT 0455",1,Ligilactobacillus equi,GCA_000615765,0
6675,,"DSM 18933, CIP 109885, JCM 14209, CCUG 56036, KBL 13, KCTC 5851",1,Ligilactobacillus hayakitensis,GCA_000615845,0
6484,313,"DSM 20452, ATCC 35020, CNRZ 220, CCUG 33904, LMG 14189, CIP 104818, JCM 1717, BCRC 14020, CECT 4135, CGMCC 1.2626, IFO 14221, KCTC 3546, LMG 18317, LMG 9475, NBRC 14221, NCFB 2808, NCIMB 702808",1,Ligilactobacillus murinus,GCA_001436015,0
24127,E100301,"DSM 28122, KCTC 13174, NBRC 103219, RIFY 6501, JCM 18084, CIP 110289",1,Ligilactobacillus pobuzihii,GCA_000349725,0
6612,GDA154,"DSM 16049, CCUG 48462, CIP 109907, LMG 22087, JCM 15955, NBRC 107826",1,Ligilactobacillus saerimneri,GCA_000423265,0
6665,"H066, HO 66","CCUG 31453, LMG 9477, DSM 20555, ATCC 11741, NCDO 929, JCM 1231, BCRC 14759, CECT 4063, CIP 103140, NCFB 2747, NCIMB 11975, NRRL B-1949, NCDO 2747",1,Ligilactobacillus salivarius,GCA_000159395,0
6664,"HO268, HO 268","DSM 20554, ATCC 11742, NCDO 1555, CCUG 39464, JCM 1150, NRIC 1072, BCRC 12574, CECT 4062, CIP 103155, KCTC 3600, LMG 9476, NBRC 102160, NCFB 1555, NRRL B-1950",0,Ligilactobacillus salivarius,GCA_002079585,0
159054,SM-Chi-D1,"DSM 100118, JCM 31927, KCTC 15601",1,Limihaloglobus sulfuriphilus,GCA_001999965,0
130608,LL-001,"DSM 29954, CECT 8072, JCM 18161",1,Limimaricola cinnabarinus,GCA_000466965,0
13675,UST950701-009P,"DSM 17492, JCM 12479, NRRL B-41039, CIP 108639",1,Limimaricola hongkongensis,GCA_000365005,0
13678,JJM85,"DSM 21424, KCTC 22372",1,Limimaricola pyoseonensis,GCA_900102015,1
24534,Ia16,"DSM 25584, IBRC-M 10018",1,Limimonas halophila,GCA_900100655,0
166352,LZ-4,"CCTCC AB 2019004, KCTC 72281",1,Limnobacter alexandrii,GCA_005871185,1
2055,CS-K2,"DSM 13612, CIP 107302, LMG 19593",1,Limnobacter thiooxidans,GCA_004291335,0
166503,HYN0051,"KACC 19186, NBRC 112742",1,Limnobaculum parvum,GCA_003096015,0
3032,MWH-C5,"DSM 21645, CCUG 56720, KCTC 42562, CCUG 57770",1,Limnohabitans curvus,GCA_003063475,0
3034,II-B4,"DSM 21592, CIP 109845, CCUG 56787",1,Limnohabitans parvus,GCA_003063455,0
3035,II-D5,"CCUG 56788, DSM 21594, CIP 109844",1,Limnohabitans planktonicus,GCA_001270065,0
6613,Kx146A4,"DSM 16041, CCUG 48456, CIP 109960, LMG 22111, JCM 15950",1,Limosilactobacillus antri,GCA_000160835,0
140356,MOZM2,"DSM 100239, CCM 8609, LMG 28780",1,Limosilactobacillus caviae,GCA_014635905,0
6587,,"LMG 21591, JCM 11550, DSM 14060, CCUG 44007, CIP 106820, KCTC 21007",1,Limosilactobacillus coleohominis,GCA_001435055,0
6678,,"DSM 18793, JCM 14505, NRIC 0697, CIP 109834",1,Limosilactobacillus equigenerosi,GCA_001311375,0
6458,"28, Bb28","DSM 20052, ATCC 14931, NCDO 1750, CCUG 30138, LMG 6902, JCM 1173, BCRC 12190, CECT 4007, CIP 102980, IFO 15885, KCTC 3112, NBRC 15885, NCIMB 11840, NRIC 1752, NRRL B-4524, VTT E-93489",1,Limosilactobacillus fermentum,GCA_000159215,0
6576,,"CCUG 56446, CIP 106922, JCM 11122, DSM 13145, LMG 19473, TMW 1.666",1,Limosilactobacillus frumenti,GCA_001436045,0
6617,Kx156A7,"DSM 16045, CCUG 48454, LMG 22113, CIP 109873, JCM 15952",1,Limosilactobacillus gastricus,GCA_001434365,0
6609,KR3,"CIP 107876, KCTC 3800, DSM 15946, CCUG 45722, LMG 20380, JCM 12531",1,Limosilactobacillus ingluviei,GCA_001435775,0
6608,"G35, G 35","DSM 14792, JCM 11425, CCUG 48824, AHU 1736, CIP 109877, CIP 108373, NITE 335",0,Limosilactobacillus ingluviei,GCA_001437235,0
6584,S32,"DSM 13345, CCUG 43179, CIP 106485, JCM 12515, KCTC 21011, LMG 19534, NCIMB 13705",1,Limosilactobacillus mucosae,GCA_001436025,0
6486,5A1,"DSM 4864, ATCC 49062, CIP 105162, NCDO 2160, NCIB 8831, CCUG 37396, JCM 11028, CECT 4021, CIP 103255, JCM 7507, KCTC 3670, LMG 9848, NCIMB 8831",1,Limosilactobacillus oris,GCA_001434465,0
6575,1,"DSM 6035, JCM 11053, CCUG 37482, CIP 109875",1,Limosilactobacillus panis,GCA_001027985,0
6562,,"DSM 8475, ATCC 51518, JCM 11051, LMG 14187, CCUG 33456, LTH 2587, CIP 104232",1,Limosilactobacillus pontis,GCA_001435345,0
6507,F 275,"DSM 20016, ATCC 23272, CIP 109823, CCUG 33624, JCM 1112, BCC 49727, BCRC 14625, CECT 925, CIP 101887, IFO 15892, KCTC 3594, LMG 13557, LMG 9213, NBRC 15892, NCDO 2589, NCIMB 11951, NRRL B-14171, VTT E-92142",1,Limosilactobacillus reuteri,GCA_000010005,0
6505,100-23,"DSM 17509, CIP 109821",1,Limosilactobacillus reuteri subsp. rodentium,GCA_000168255,0
6669,,"DSM 17896, CCUG 53218, TMW 1.1309, CIP 109557, JCM 15613",1,Limosilactobacillus secaliphilus,GCA_001437055,0
6558,Lac 19,"DSM 5837, ATCC 49540, NCTC 12197, CCUG 31452, JCM 9505, BCRC 14735, CECT 4089, CIP 105932, KCTC 3515, LMG 12891, NCFB 2810, NCIMB 702810, CSCC 5252",1,Limosilactobacillus vaginalis,GCA_000159435,0
132632,,"DSM 102030, CGMCC 4.7224, EGI 80537",1,Lipingzhangella halophila,GCA_014203805,0
6691,,"DSM 21051, CECT 7355, IMCC 1736, JCM 16869",1,Liquorilactobacillus aquaticus,GCA_001436755,1
6681,R-34119,"DSM 21116, LMG 24285",1,Liquorilactobacillus cacaonum,GCA_001436735,0
6680,,"DSM 19910, BCRC 17811, JCM 15044, YIT 11306, LMG 29533, CIP 109977",1,Liquorilactobacillus capillatus,GCA_001434915,0
6657,L489,"DSM 18630, CCUG 53453, CIP 109616, JCM 15611",1,Liquorilactobacillus ghanensis,GCA_001435235,1
6672,UCC128,"DSM 19519, CIP 109892, JCM 16179, LMG 24241",1,Liquorilactobacillus hordei,GCA_001434845,0
6586,"LuE10, LuE<SUB>10</SUB>","DSM 13675, ATCC 700692, CCUG 43575, JCM 12492, KCTC 21009, CIP 107647",1,Liquorilactobacillus nagelii,GCA_001434225,0
6676,59b,"DSM 19972, CECT 7334, JCM 18036, CIP 110039",1,Liquorilactobacillus oeni,GCA_001436275,0
6621,,"DSM 16230, NRIC 0604, CCUG 52399, JCM 12392, CIP 109882, NCIMB 14549",1,Liquorilactobacillus satsumensis,GCA_001312045,0
6692,,"DSM 21376, JCM 15457, NRIC 0736",1,Liquorilactobacillus sucicola,GCA_000612445,1
6683,"8, Lb8","DSM 19971, CECT 7335, CIP 109959, JCM 16870",1,Liquorilactobacillus uvarum,GCA_001434935,0
6641,,"DSM 20605, CECT 5924, Mont 4, JCM 14280, CIP 109261",1,Liquorilactobacillus vini,GCA_000255495,0
133499,H6,"CGMCC 1.7005, JCM 15141",1,Lishizhenia tianjinensis,GCA_900116425,0
23081,"80937-1, FAM 21873, LU2006-1","DSM 24998, CIP 110547, LMG 26584",1,Listeria fleischmannii subsp. fleischmannii,GCA_000344175,0
158422,"88L, ILCC801","DSM 29886, KCTC 33909, MCC 3285, LCC 801",1,Listeria goaensis,GCA_900186125,0
6869,F-9,"DSM 20596, ATCC 25401, CIP 76124, NCTC 10812, CIP 76.124, CCM 5990, SLCC 4426, CLIP 12515",0,Listeria murrayi,GCA_900638015,1
136614,,"CIP 80.12, ATCC 33091, NCTC 11289",0,Listeria innocua,GCA_000241405,1
6872,Li 1979,"CCUG 15528, CCM 5884, NCTC 11846, CIP 78.42, CECT 913, DSM 20750, ATCC 19119, WDCM 00018, SLCC 2379, JCM 7681, BCRC 14844, KCTC 3444, LMG 11388, NCAIM B.02035, NRRL B-33017, VTT E-97771",1,Listeria ivanovii subsp. ivanovii,GCA_900187025,1
6879,CNL 89/5081,"CCUG 36672, CCM 4698, DSM 12491, ATCC 49954, CIP 103466, CLIP 12229, JCM 32891, NCTC 12701",1,Listeria ivanovii subsp. londoniensis,GCA_900106685,1
6875,53 XXIII,"DSM 20600, ATCC 15313, NCTC 10357, CCUG 15526, CIP 82.110, JCM 32892",1,Listeria monocytogenes,GCA_900187225,0
6873,1224.72,"DSM 15675, NCTC 11994, WDCM 00019, CIP 110274, CECT 4032, LMG 13305",0,Listeria monocytogenes,GCA_002156185,0
24152,1071/53,"DSM 27575, ATCC 13932, NCTC 10527, WDCM 00021, JCM 7675, CCM 5580, CIP 59.53, CCM 7202, LMG 21264, CECT 935, SLCC 1071/53, CLIP 78959",0,Listeria monocytogenes,GCA_003031895,1
131740,Li 20,"DSM 102976, ATCC 35152, CCM 5576, CCUG 15527, CECT 5873, LMG 13304, NCTC 7973, WDCM 00109, JCM 7671, CIP 104794, NCAIM B.01371, CLIP 74902",0,Listeria monocytogenes,GCA_900637785,1
139466,21,"CIP 105458, ATCC 19117, CCM 5883, NCTC 10888, CIP 78.40, CCUG 35751, CCM 4699, JCM 7680, CLIP 74912, SLCC 2377",0,Listeria monocytogenes,GCA_000307025,1
6876,1120,"CCUG 15530, CIP 100.100, CECT 917, NCTC 11856, CCM 3970, DSM 20751, ATCC 35967, CIP 100100, SLCC 3954, JCM 32815, BCRC 15361, LMG 11386, NCAIM B.01873",1,Listeria seeligeri,GCA_000027145,1
158452,CLIP2015/00305,"DSM 107638, CIP 111635, CLIP 2015/00305",1,Listeria thailandensis,GCA_900576925,0
23078,WS 4560,"DSM 24698, LMG 26374",1,Listeria weihenstephanensis,GCA_003534205,1
6878,V8,"DSM 20650, ATCC 35897, CIP 8149, SLCC 5334, CCUG 15529, CIP 81.49, NCTC 11857, CECT 919, CCM 3971, JCM 32816, BCRC 14851, LMG 11389, NCAIM B.01872",1,Listeria welshimeri,GCA_000060285,1
17279,,"DSM 21597, ATCC 19264, CAIM 696, CCTM 2283, CCUG 47265, CECT 522, CIP 63.36, IFO 13266, LMG 4410, LMG 4437, NBRC 13266, NCCB 72050, NCIMB 6, NCTC 12159, RIMD 2202001, JCM 33359",1,Listonella anguillarum,GCA_001989995,1
17317,"99, Baumann 99","DSM 21205, ATCC 25916, CCUG 16398, CECT 4202, NCIMB 1900, NCTC 11316, LMG 3897, JCM 21191, BCRC 12918, CAIM 324, CECT 527, CIP 102762, CIP 106865, CIP 75.06, IAM 14408, IFO 15639, JCM 1145, KCTC 2732, NBRC 15639, NCCB 76038",1,Listonella pelagia,GCA_024347575,1
1282,"BA288, 18.101","DSM 16976, CIP 110635, KCTC 3947",1,Litchfieldia alkalitelluris,GCA_002019645,1
23240,,"DSM 26922, JCM 16493, NRIC 0773, KMM 3851",1,Litoreibacter albidus,GCA_900107015,0
13858,GA2-M15,"DSM 19593, KACC 12675",1,Litoreibacter arenae,GCA_000442275,1
130644,P-MA1-7,"DSM 29467, CCUG 63416, KCTC 32213",1,Litoreibacter halocynthiae,GCA_004365635,0
23241,,"DSM 26921, JCM 16492, NRIC 0772, KMM 3842",1,Litoreibacter janthinus,GCA_900111945,0
130643,MA1-1,"DSM 29466, CCUG 61486, KCTC 23699, KCTC 23699T",1,Litoreibacter meonggei,GCA_003663885,0
133992,JC166,"KCTC 32217, LMG 27256",1,Litoribacter ruber,GCA_018449405,0
133622,,"ACCC 05414, KCTC 22899, YIM CH208",1,Litoribacter ruber,GCA_018500185,0
166110,RZ04,"MCCC 1K03616, KCTC 62835",1,Litorilituus lipolyticus,GCA_006439335,1
159817,FSX-11,"JCM 32715, MCCC 1K03503",1,Litorivita pollutaquae,GCA_003205515,0
6642,L-1062,"DSM 18080, JCM 18665, LMG 23555",1,Loigolactobacillus backii,GCA_003946275,0
6421,N2,"CCUG 32234, DSM 20003, ATCC 35409, JCM 1094, BCRC 12934, CGMCC 1.1876, CIP 102811, KCTC 5061, LMG 9845, NCFB 2736, NCIMB 12863, NCDO 2736",1,Loigolactobacillus bifermentans,GCA_001434575,0
6437,34,"CCUG 30666, DSM 20001, ATCC 25602, NCIB 9711, JCM 1164, BCRC 12935, CECT 982, CIP 103133, KCTC 3167, LMG 9196, NCFB 2741, NCIMB 9711, NRRL B-4391, VTT E-93487, NCDO 2741",1,Loigolactobacillus coryniformis subsp. coryniformis,GCA_000166795,0
24134,IWT246,"DSM 26942, JCM 18838, KCTC 21046",1,Loigolactobacillus iwatensis,GCA_003950295,0
24491,IG8,"DSM 29326, IAM 15450, JCM 23210, NCIMB 14280, CIP 109738, IAM 15540",1,Loktanella atrilutea,GCA_900128995,0
13674,R-7670,"DSM 16213, LMG 22007, JCM 21635, CIP 108323, IAM 15180, NBRC 102485",1,Loktanella fryxellensis,GCA_900110065,0
13672,R-8904,"DSM 16199, LMG 21507, JCM 21636, CIP 108322, IAM 15181, NBRC 102486",1,Loktanella salsilacus,GCA_900114485,0
140500,WDS2C18,"KCTC 52045, MCCC 1H00132",1,Longibacter salinarum,GCA_002554795,0
132517,CB-286315,"DSM 29007, CECT 8660",1,Longimicrobium terrae,GCA_013000925,0
160507,,"DSM 105158, CGMCC 1.16550, SCSIO 06110",1,Longirhabdus pacifica,GCA_004115085,1
158749,R-43280,"LMG 26267, NCPPB 4481, CFCC 10822",1,Lonsdalea britannica,GCA_002111595,1
158750,R-44166,"LMG 26264, NCPPB 4490, CFCC 10824",1,Lonsdalea iberica,GCA_002111585,1
5251,1,"DSM 4561, ATCC 29281, CCUG 48867, CFBP 3617, CIP 105201, ICMP 1845, ICPB EQ 101, LMG 2724, NCPPB 1852, PDDCC 1845",1,Lonsdalea quercina,GCA_000688655,0
166204,B210,"KCTC 42951, CGMCC 1.16770",1,Lujinxingia litoralis,GCA_003260125,1
159925,SEH01,"DSM 101859, KCTC 42950",1,Lujinxingia sediminis,GCA_004005565,1
133254,JC344,"KCTC 42988, LMG 29259",1,Lunatimonas salinarum,GCA_017811155,0
17465,,"DSM 23190, CCM 7598, CCUG 25036",1,Luteibacter anthropi,GCA_011759365,1
17463,LJ96,"DSM 16549, ATCC BAA-1015, CCUG 50033",1,Luteibacter rhizovicinus,GCA_001010405,1
134069,CC-AMWY-103B,"JCM 18817, BCRC 80551",1,Luteibaculum oceani,GCA_007995015,0
17887,R19-04,"DSM 22413, NBRC 105647",1,Luteimicrobium subarcticum,GCA_002798015,0
17469,RIB1-20,"DSM 22088, BCRC 17731, LMG 24212",1,Luteimonas aquatica,GCA_022662575,0
141071,26-35,"KCTC 42824, CCTCC AB 2014326",1,Luteimonas arsenica,GCA_004352825,0
166305,,"KACC 19469, CCTCC AB 2017256, MIC 1.5",1,Luteimonas cellulosilyticus,GCA_016879515,0
24674,Y4,"DSM 28068, CGMCC 1.10821, KCTC 23627",1,Luteimonas cucumeris,GCA_007830035,0
162196,Gr-4,"JCM 18203, KACC 16614",1,Luteimonas granuli,GCA_007795095,0
24675,HB2,"DSM 26429, CICC 11005s",1,Luteimonas huabeiensis,GCA_000559025,0
17470,FR1330,"DSM 22943, IMSNU 60306, JCM 12488, KCTC 12327",1,Luteimonas marina,GCA_007859325,0
17466,B1953/27.1,"DSM 12574, ATCC BAA-11, CCUG 48040, CIP 107229",1,Luteimonas mephitis,GCA_000422305,1
133046,,"DSM 101536, KCTC 52403, CDR SL 15",1,Luteimonas padinae,GCA_014652935,0
140846,THG-MD21,"KACC 18131, JCM 30122",1,Luteimonas terrae,GCA_004358165,1
17473,BZ92r,"DSM 22344, CGMCC 1.8985, CIP 110133",1,Luteimonas terricola,GCA_004352845,0
166355,WF-2,"KCTC 62441, CGMCC 1.13633",1,Cognatiluteimonas weifangensis,GCA_003416885,0
133519,MN07-A0370,"NBRC 105296, VTCC D9-09",1,Luteipulveratus mongoliensis,GCA_001190945,0
140275,HEG_-6_39,"DSM 100886, KCTC 52215",1,Luteitalea pratensis,GCA_001618865,0
12621,,"DSM 10546, ATCC 51526, CIP 104067, IFO 12422, JCM 9415, NBRC 12422, OUT 8086, CCUG 38731, IMSNU 21283, KCTC 9794, NCIMB 13388, NRIC 1092, VKM Ac-1951",1,Luteococcus japonicus,GCA_003752415,0
134331,A4T-83,"KCTC 22041, MBIC 08322",1,Luteolibacter pohnpeiensis,GCA_016595435,0
133924,EBTL01,"KCTC 23678, JCM 18052",1,Luteolibacter yonseiensis,GCA_016595465,0
24048,KYW566,"DSM 29150, JCM 18281, KCTC 23842",1,Lutibacter agarilyticus,GCA_900188235,0
24047,,"DSM 27993, IMCC 1507, KACC 14312, NBRC 107589",1,Lutibacter flavus,GCA_900188355,0
134184,CL-TF09,"KCCM 42118, JCM 13034, CIP 109245",1,Lutibacter litoralis,GCA_014646675,0
5721,S7-2,"DSM 24450, CCUG 57524, KCTC 22635",1,Lutibacter maritimus,GCA_900116115,0
132984,LP1,"DSM 100437, JCM 30586, JCM 30585",1,Lutibacter profundi,GCA_001543325,0
13878,AMV1,"DSM 22728, CCUG 58046, KCTC 22669, NBRC 105799",1,Lutibaculum baratangense,GCA_000496075,1
130637,W11-2B,"DSM 29620, CCTCC AB 208224, LMG 24619, MCCC 1A01034",1,Lutimaribacter pacificus,GCA_900142185,0
24514,SMK-117,"DSM 28010, CCUG 55760, KCTC 22244",1,Lutimaribacter saemankumensis,GCA_900100005,0
2870,,"DSM 19022, NBRC 102133, EBR 46",1,Lutispora thermophila,GCA_900142105,1
133312,Y2A20,"CGMCC 1.15760, KCTC 33825",1,Lysinibacillus alkalisoli,GCA_014643595,1
1538,10a,"DSM 17140, ATCC BAA-1146, IAM 15262, JCM 21713, CIP 109652, NBRC 103108",1,Lysinibacillus boronitolerans,GCA_000772935,1
166376,,"KCTC 43130, CGMCC 1.17492, SYSU K30005",1,Lysinibacillus cavernae,GCA_009724685,1
23758,,"DSM 24785, JCM 18777, KCTC 13796, NCCP 36",1,Lysinibacillus composti,GCA_016908465,1
23760,FSt3A,"DSM 25560, CCM 8383, CIP 110362, CCUG 62186",1,Lysinibacillus contaminans,GCA_001278945,0
1521,AMNH 732,"DSM 2898, ATCC 7055, JCM 31033, NRS 350, JCM 12229, BCRC 15907, CCUG 28888, IFO 15717, IFO 3528, KCTC 3454, LMG 9816, NBRC 15717, NBRC 3528, NRRL NRS-350, VTT E-011945, CRBIP3.1597",1,Lysinibacillus fusiformis,GCA_003049525,1
1542,1741-1b,"DSM 54, ATCC 12905, LMG 18474, SAG 1741-1b, JCM 21742, IAM 15292, LMG 18473",1,Lysinibacillus macroides,GCA_001281525,1
1537,34hs-1,"DSM 18869, ATCC PTA-4993, CIP 108263, KCTC 3961, NBRC 100172, NRRL B-30641",1,Lysinibacillus odysseyi,GCA_000773015,1
23762,,"DSM 24784, JCM 18776, KCTC 13795, NCCP 54",1,Lysinibacillus pakistanensis,GCA_001312325,1
1539,BAM-582,"DSM 25242, KCTC 13154, NBRC 103144, JCM 18861",1,Lysinibacillus parviboronicapiens,GCA_001311625,1
1532,"Gibson 1013, 1013","DSM 28, ATCC 14577, CCM 2120, JCM 2502, NCIB 9370, NCTC 10338, CCUG 7428, LMG 7134, BCRC 12825, CECT 33, CIP 65.30, IAM 13420, IFO 15095, KCTC 3346, NBRC 15095, NCCB 75018, NCIMB 9370, NRRL B-23268, VKM B-509, NCDO 1767",1,Lysinibacillus sphaericus,GCA_000427235,1
140558,S5H2222,"MCC 3065, KACC 18714, LMG 29294",1,Lysinibacillus telephonicus,GCA_003966145,1
1540,XDB9,"DSM 23493, CCUG 57438, KCTC 13423",1,Lysinibacillus xylanilyticus,GCA_001183605,1
140892,S2-C,"KACC 18502, JCM 31130",1,Lysobacter aestuarii,GCA_006546775,0
